Gene	beta	se2
ENSG00000000419	-1.75027107842	2.06901965318
ENSG00000000457	-0.824833628382	0.435141804865
ENSG00000000460	0.832159177295	0.0463986310612
ENSG00000000938	2.15679839965	0.287135208064
ENSG00000000971	-0.590105798334	0.740794632432
ENSG00000001036	-1.95387726428	0.685768897681
ENSG00000001084	0.845471022468	0.419101581407
ENSG00000001167	-0.78765020353	2.18187200676
ENSG00000001460	-0.728088354883	0.731236765834
ENSG00000001461	-0.153887541743	0.469019731803
ENSG00000001561	-0.280673969071	0.460660170139
ENSG00000001617	0.311142915361	0.848538756444
ENSG00000001626	-0.431162758644	0.028654735775
ENSG00000001629	-0.957436590912	2.15390034854
ENSG00000001630	-0.339927486924	0.326584820793
ENSG00000001631	-1.52373086721	2.08701043466
ENSG00000002016	0.239538101943	0.00381989440295
ENSG00000002330	-2.41581755552	2.0351443423
ENSG00000002549	-2.10443047451	2.04883435889
ENSG00000002586	-1.54497902163	2.08701058351
ENSG00000002587	-0.955215398591	2.15389998578
ENSG00000002726	-1.11269800631	0.42602906003
ENSG00000002745	-1.0952655075	2.13338796139
ENSG00000002746	-0.0050809632259	0.800054057332
ENSG00000002822	-0.610349858392	0.130440504016
ENSG00000002834	2.67448027201	0.0118327306945
ENSG00000002919	-0.90157674677	0.720774534082
ENSG00000002933	-2.15199635417	2.04656565852
ENSG00000003056	-1.52455869311	2.08701035498
ENSG00000003137	-0.592319157747	2.22227674825
ENSG00000003147	-1.10327440687	2.13338735527
ENSG00000003249	-1.84529233291	2.06066221877
ENSG00000003393	-1.14986266124	0.425370344366
ENSG00000003400	-3.60537815313	2.01098288542
ENSG00000003402	-1.86143014322	2.0606612808
ENSG00000003436	-0.140991558026	0.784368051751
ENSG00000003509	-0.52383551228	0.20337757622
ENSG00000003756	0.0016401674317	0.800053805406
ENSG00000003987	0.86960503648	0.0953393880607
ENSG00000003989	-0.0541236738404	0.339822260574
ENSG00000004059	-0.338290067155	2.28576824799
ENSG00000004139	-0.657768229201	0.73568659352
ENSG00000004142	1.59749525587	1.33338810876
ENSG00000004399	-0.42571145231	0.753678222183
ENSG00000004455	1.53389376576	0.154127905623
ENSG00000004468	-3.02681761437	2.01947164481
ENSG00000004478	-1.43556013462	2.09529192927
ENSG00000004487	-0.239636046675	0.771983887218
ENSG00000004534	0.512191014035	0.88894281042
ENSG00000004660	0.173574433349	0.495292426746
ENSG00000004700	-0.436178180207	0.0611259393823
ENSG00000004766	-1.44187216871	2.09529234628
ENSG00000004777	-0.665293576017	0.735686642176
ENSG00000004779	0.51268036329	2.6667204605
ENSG00000004799	-0.66562329974	0.245264967934
