Gene	beta	se2
ENSG00000000419	0.109107742001	0.469032479227
ENSG00000000457	0.387919910111	0.189001179297
ENSG00000000460	-0.653871010664	0.196484110486
ENSG00000000938	1.07770171189	0.581885143271
ENSG00000000971	-0.332021826336	0.740807850879
ENSG00000001036	-0.38995268302	0.200934182354
ENSG00000001084	0.767318553149	0.533400546284
ENSG00000001167	0.567848256611	0.84855181287
ENSG00000001460	3.76213467991	0.07433988706
ENSG00000001461	0.436152088794	0.354747044858
ENSG00000001561	-0.537038307685	0.727339896121
ENSG00000001617	-0.53186450091	2.1818851755
ENSG00000001626	-1.71578585477	0.120998266589
ENSG00000001629	-0.695214531732	2.15391388452
ENSG00000001630	1.19244738911	0.12088390622
ENSG00000001631	0.340939338551	0.487023502879
ENSG00000002016	0.603898680158	0.00352485327729
ENSG00000002330	-2.18680627492	2.03515652167
ENSG00000002549	2.79162859045	0.0682652414054
ENSG00000002586	0.911424150962	0.309246092599
ENSG00000002587	0.400296201672	0.820579793247
ENSG00000002726	0.65078619402	0.112997896908
ENSG00000002745	1.10004135542	0.419115148838
ENSG00000002746	0.250802714085	0.800067182233
ENSG00000002822	-0.486893484887	0.146139626067
ENSG00000002834	2.40278157267	0.0139165537639
ENSG00000002919	0.453882301116	0.276343225029
ENSG00000002933	1.14925801002	0.14181693214
ENSG00000003056	0.677968430294	0.372737768063
ENSG00000003137	-0.347192916041	2.22228936069
ENSG00000003147	0.770276897879	0.533400952616
ENSG00000003249	-0.536149510031	0.727339927151
ENSG00000003393	-0.557207193306	0.311097744066
ENSG00000003400	0.799243498049	0.0427423348998
ENSG00000003402	-1.63411305736	2.06067307533
ENSG00000003436	0.143152362967	0.78438288973
ENSG00000003509	0.168227664507	0.139219632971
ENSG00000003756	-0.840151630101	2.13340027143
ENSG00000003987	-0.110108217792	0.253058679304
ENSG00000003989	-0.134667218067	0.454121083497
ENSG00000004059	1.02430392316	0.952448495741
ENSG00000004139	0.103038053358	0.46903280699
ENSG00000004142	0.766012227736	2.66673539145
ENSG00000004399	0.666427285972	0.372738567704
ENSG00000004455	0.768788371336	0.296363250499
ENSG00000004468	-0.0597708948663	0.152818319716
ENSG00000004478	-0.0801907989788	0.761971727304
ENSG00000004487	0.533844313082	0.505330745898
ENSG00000004534	-0.330492582238	2.22228925239
ENSG00000004660	1.0108276167	0.317527475904
ENSG00000004700	-0.23205245078	0.0642281618777
ENSG00000004766	-1.17002735396	2.09530645287
ENSG00000004777	0.0977989866473	0.469032984215
ENSG00000004779	0.769564279855	2.66673359451
ENSG00000004799	0.119437195128	0.156390325517
ENSG00000004809	-0.786659767309	0.126012969586
ENSG00000004838	0.716995023163	0.202693639043
ENSG00000004846	0.496239406271	0.0162440419248
ENSG00000004864	2.34612049601	0.0210029288593
ENSG00000004866	-0.850370601564	2.13340148167
ENSG00000004897	-0.848734169564	0.0853481451189
ENSG00000004939	-0.531785216461	2.18188513983
ENSG00000004948	-0.254126050405	0.24895631977
ENSG00000004975	0.97066709801	0.403428531712
ENSG00000005001	-0.0790778290735	2.28578123336
ENSG00000005007	1.01918694752	0.952448443183
ENSG00000005020	0.129305788454	0.784381223847
ENSG00000005059	-0.699767980899	0.718016228434
ENSG00000005073	-0.334311866006	2.22228926339
ENSG00000005075	-0.196346763445	0.753691335108
ENSG00000005100	0.93913647666	0.111813205006
ENSG00000005102	0.854274975826	0.391045205488
ENSG00000005108	-1.74407188195	2.05412142346
ENSG00000005156	-1.06246541607	0.301048490649
ENSG00000005175	0.608060950739	0.233168468305
ENSG00000005187	-2.74414617899	0.0878974218602
ENSG00000005189	1.19249565568	0.0973702353195
ENSG00000005194	-3.72725012566	0.0609082187923
ENSG00000005238	0.750820672366	2.66673521038
ENSG00000005243	-0.59525371689	0.723877059952
ENSG00000005249	0.769159993126	2.66673369528
ENSG00000005339	0.256169203623	2.40006760148
ENSG00000005379	0.250442841939	0.342924265912
ENSG00000005381	-1.78044645977	0.0388000122683
ENSG00000005421	0.723681980669	0.0910105336637
ENSG00000005436	1.0778551917	0.0476701429695
ENSG00000005448	-0.635224349651	0.432853861763
ENSG00000005469	-2.01469655409	0.157083491325
ENSG00000005471	0.45292791807	0.276343346375
ENSG00000005483	-1.35870105741	0.297211569895
ENSG00000005486	2.3743929509	1.06673394401
ENSG00000005513	0.225754434525	2.40006818468
ENSG00000005700	0.634409851682	0.286806045096
ENSG00000005801	-0.170691127365	0.753690145691
ENSG00000005810	-0.403522502375	0.735699442943
ENSG00000005812	-0.65119573767	0.720788833541
ENSG00000005844	-0.703306423529	0.718016150152
ENSG00000005882	-0.265967821021	0.746734677791
ENSG00000005884	0.0378523299655	0.464583381657
ENSG00000005955	-0.971751094599	2.11771419488
ENSG00000005961	0.95856591591	0.147883797112
ENSG00000005981	-1.32606459282	0.694131137315
ENSG00000006007	-1.44018775192	0.691425542948
ENSG00000006016	0.963327695331	0.255959471806
ENSG00000006025	0.450819592554	0.276343777032
ENSG00000006042	-0.537707063491	2.18188670702
ENSG00000006047	1.8198295927	1.33340214478
ENSG00000006059	-0.0626396946784	0.134808086436
ENSG00000006071	-0.317952596349	0.171304812198
ENSG00000006074	-0.696910572363	2.15391314507
ENSG00000006075	-1.07698082958	0.701821351303
ENSG00000006114	-1.18183444114	2.09530520074
