Gene	beta	se2
ENSG00000000419	-1.75035143567	2.06901965634
ENSG00000000457	-0.825005082797	0.435141811287
ENSG00000000460	0.832943501711	0.0463986995802
ENSG00000000938	2.15714871578	0.287135226695
ENSG00000000971	-0.590177902967	0.7407946355
ENSG00000001036	-1.95427209637	0.685768906264
ENSG00000001084	0.845542842387	0.419101588039
ENSG00000001167	-0.787659132567	2.18187200925
ENSG00000001460	-0.72814262185	0.731236771177
ENSG00000001461	-0.153888284245	0.469019739152
ENSG00000001561	-0.280728496957	0.46066017551
ENSG00000001617	0.311142959732	0.848538758866
ENSG00000001626	-0.432108958445	0.0286548424864
ENSG00000001629	-0.957445725315	2.15390035107
ENSG00000001630	-0.340018580235	0.326584828962
ENSG00000001631	-1.52379354421	2.08701043764
ENSG00000002016	0.242811507578	0.00382071804496
ENSG00000002330	-2.41607793465	2.03514434472
ENSG00000002549	-2.10461010528	2.04883436051
ENSG00000002586	-1.54504395747	2.08701058654
ENSG00000002587	-0.955269218697	2.15389998627
ENSG00000002726	-1.11296024511	0.42602906747
ENSG00000002745	-1.09533814464	2.13338796205
ENSG00000002746	-0.00510833740964	0.800054060013
ENSG00000002822	-0.610657221803	0.13044052918
ENSG00000002834	2.688648659	0.0118334436212
ENSG00000002919	-0.90165727474	0.720774539631
ENSG00000002933	-2.15214949993	2.04656566233
ENSG00000003056	-1.52465726914	2.08701035586
ENSG00000003137	-0.592319364016	2.22227675073
ENSG00000003147	-1.10329269545	2.13338735786
ENSG00000003249	-1.84538983627	2.0606622223
ENSG00000003393	-1.15007804519	0.425370353562
ENSG00000003400	-3.60615507461	2.01098289485
ENSG00000003402	-1.86157428801	2.06066128209
ENSG00000003436	-0.141028978536	0.784368054548
ENSG00000003509	-0.523979051579	0.203377592108
ENSG00000003756	0.00166718244513	0.800053809991
ENSG00000003987	0.870028681883	0.0953394231982
ENSG00000003989	-0.0541144364417	0.339822270187
ENSG00000004059	-0.338317089556	2.28576824824
ENSG00000004139	-0.657813385956	0.735686598865
ENSG00000004142	1.59753159138	1.33338811092
ENSG00000004399	-0.425720453413	0.753678227315
ENSG00000004455	1.53435178214	0.154127932936
ENSG00000004468	-3.02724265733	2.0194716511
ENSG00000004478	-1.43560503846	2.09529193209
ENSG00000004487	-0.23967233483	0.77198388998
ENSG00000004534	0.512236023224	0.888942814863
ENSG00000004660	0.173610576296	0.495292433799
ENSG00000004700	-0.436663631305	0.0611259880997
ENSG00000004766	-1.44196310384	2.0952923471
ENSG00000004777	-0.665385081522	0.73568664548
ENSG00000004779	0.51267141146	2.66672046058
ENSG00000004799	-0.665833542592	0.245264979643
ENSG00000004809	-1.68155517396	0.230574927458
ENSG00000004838	-1.00275136959	0.715501175084
ENSG00000004846	-1.51610438518	0.0774014403787
ENSG00000004864	-1.82543226647	0.412957269561
ENSG00000004866	0.490032980246	0.533387580335
ENSG00000004897	-1.22404758433	0.0922891695076
ENSG00000004939	-0.784537743352	2.18187219211
ENSG00000004948	-2.71182998603	2.0267207244
ENSG00000004975	-1.21987815478	2.11770163714
ENSG00000005001	-0.334758432455	2.28576815328
ENSG00000005007	0.781492108473	0.952436079085
ENSG00000005020	-0.105939875384	0.784368978132
ENSG00000005059	-0.101654605472	0.337050963309
ENSG00000005073	-0.576535374213	2.22227678128
ENSG00000005075	0.657095351228	0.309234109061
ENSG00000005100	-2.53530188561	2.03180010636
ENSG00000005102	-1.34232258112	2.10531793573
ENSG00000005108	-1.99520757821	2.05410847464
ENSG00000005156	-3.26556180627	2.01532107126
ENSG00000005175	-0.960893087091	0.718002980716
ENSG00000005187	-1.70144348035	0.0244573788941
ENSG00000005189	-0.891404916812	0.432840816136
ENSG00000005194	-0.753406416738	0.00268062265885
ENSG00000005238	0.495825088172	2.66672188032
